List of Courses for 2020 Spring Semester,,,,,,,,
#,Course Code,Title,_L_T_P_C_ ,Total Student,Course Coordinator,Course Instructor,Slot,Room No
115,BSE 610,Cell and Developmental Biology,2 - 1 - 0 - 3,8,Dr. Hem Chandra Jha,"Dr. Debasis Nayak,",V,SB-314A
116,EE 642,Wireless Communication,2 - 1 - 0 - 3,7,Dr. Prabhat Kumar Upadhyay,"Dr. Prabhat Kumar Upadhyay, Dr. Swaminathan Ramabadran,",V,0
117,HS 724,Econometrics-II,2 - 1 - 0 - 3,0,Dr. Ruchi Sharma,"Dr. Ruchi Sharma,",V,0
118,MA 612,Analysis-II,3 - 1 - 0 - 4,12,Dr. Bibekananda Maji,"Dr. Bibekananda Maji,",V,1E-202B
119,PH 620,Statistical Mechanics,2 - 1 - 0 - 3,18,Prof. Subhendu Rakshit,"Dr. Sudip Chakraborty, Prof. Subhendu Rakshit,",V,1E-404
120,BSE 607,Bioremediation Principles and Practices,2 - 1 - 0 - 3,0,Dr. Kiran Bala,"Dr. Kiran Bala,",V,SB-209
121,AA 478/678,Space Weather,2 - 1 - 0 - 3,17,Dr. Saurabh Das,"Dr. Bhargav Vaidya, Dr. Saurabh Das,",V,1E-505
122,EE 431/631,Organic Electronics,2 - 1 - 0 - 3,2,Dr. Vipul Singh,"Dr. Vipul Singh,",V,0
123,HS 608,Nations and Nationalism,2 - 1 - 0 - 3,3,Dr. Shomik Dasgupta,"Dr. Shomik Dasgupta,",V,0
124,MA 452/652,Theory of Transforms,2 - 1 - 0 - 3,14,Dr. Sanjeev Singh,"Dr. Sanjeev Singh,",V,1E-202A
125,ME 438/738,Composite Materials,2 - 1 - 0 - 3,4,hodme,"hodme,",V,0
126,MM 488/688,Electroceramics,2 - 1 - 0 - 3,24,Dr. Sunil Kumar,"Dr. Sunil Kumar,",V,1E-406
127,CH 624,Total Synthesis and Natural Products Chemistry,2 - 1 - 0 - 3,20,Dr. Apurba K Das,"Dr. Apurba K Das, Dr. Chelvam Venkatesh,",W,SB-115
128,EE 644,Image Processing,2 - 1 - 0 - 3,7,Dr. Vivek Kanhangad,"Dr. Vivek Kanhangad,",W,0
129,HS 742,Twentieth Century and the European Novel,2 - 1 - 0 - 3,0,Dr. Ananya Ghoshal,"Dr. Ananya Ghoshal,",W,0
130,MA 734,Fourier Analysis on Euclidean Spaces,2 - 1 - 0 - 3,4,Dr. Vijay Kumar Sohani,"Dr. Vijay Kumar Sohani,",W,1E-202B
131,MSE 725,Single Crystal Growth Techniques,2 - 1 - 2 - 4,4,Dr. Mrigendra Dubey,"Dr. Mrigendra Dubey,",W,1E-506
132,PH 622,Fundamentals of Solid State Physics,2 - 1 - 0 - 3,18,Dr. Preeti A. Bhobe,"Dr. Preeti A. Bhobe, Dr. Sudeshna Chattopadhyay,",W,1E-404
133,AA 602N,Advanced Topics in Astronomy and Astrophysics,2 - 1 - 0 - 3,10,Dr. Manoneeta Chakraborty,"Dr. Manoneeta Chakraborty, Dr. Siddharth S. Malu,",W,1E-505
134,CS 419/619,Computer Vision,2 - 1 - 0 - 3,99,Dr. Surya Prakash,"Dr. Surya Prakash,",W,0
135,EE 447/647,Advanced Photonics,2 - 1 - 0 - 3,5,Dr. Mukesh Kumar,"Dr. Mukesh Kumar,",W,0
136,MA 620,Partial Differential Equations,2 - 1 - 0 - 3,12,Dr. Antony Vijesh,"Dr. Antony Vijesh,",W,1E-202A
137,ME 418/618,Computational Fluid Dynamics (CFD),2 - 1 - 0 - 3,8,Dr. S. Dhinakaran,"Dr. S. Dhinakaran,",W,0
138,MM 646,Advances in Iron and Steel Metallurgy,2 - 1 - 0 - 3,9,Dr. Santosh S Hosmani,"Dr. Santosh S Hosmani,",W,1D-207
139,CE 408,Foundation Engineering,2 - 0 - 2 - 3,36,Dr. Neelima Satyam,"Dr. Lalit Borana, Dr. Neelima Satyam,",X,0
140,CH 642,Applied Inorganic and Nuclear Chemistry,2 - 1 - 0 - 3,20,Prof. Suman Mukhopadhyay,"Dr. Shaikh M Mobin, Prof. Suman Mukhopadhyay,",X,SB-115
141,AA 606,Random Signals and Applied Kalman Filtering,2 - 1 - 0 - 3,5,Dr. Saurabh Das,"Dr. Abhirup Datta, Dr. Saurabh Das,",X,1E-505
142,CS 420/620,Embedded Systems,2 - 1 - 0 - 3,41,Dr. Gourinath Banda,"Dr. Gourinath Banda,",X,1E-506
143,EE 638,System on Programmable Chip Design,2 - 1 - 0 - 3,5,Dr. Srivathsan Vasudevan,"Dr. Srivathsan Vasudevan,",X,0
144,HS 626,Environmental and Natural Resource Economics,2 - 1 - 0 - 3,6,Dr. Pritee Sharma,"Dr. Pritee Sharma,",X,0
145,ME 437/637,Fracture Mechanics,2 - 1 - 0 - 3,24,Dr. Indrasen Singh,"Dr. Indrasen Singh,",X,0
146,MM 656,Experimental Techniques in Materials,2 - 0 - 2 - 3,13,Dr. Dhirendra Kumar Rai,"Dr. Dhirendra Kumar Rai,",X,1D-207
147,CH 706,Photochemistry,2 - 1 - 0 - 3,12,Dr. Tushar Kanti Mukherjee,"Dr. Tridib Kumar Sarma, Dr. Tushar Kanti Mukherjee,",Y,SB-209
148,BSE 614,General Physiology,2 - 1 - 0 - 3,8,Dr. Abhijeet Joshi,"Dr. Abhijeet Joshi,",Y,SB314-A
149,MA 736,Wavelet Analysis,2 - 1 - 0 - 3,2,Dr. Niraj K. Shukla,"Dr. Niraj K. Shukla,",Y,0
